added,title
2022-10-18T14:23:41+02:00,La vie commence demain
2022-07-10T23:32:10+01:00,The Billion Dollar Code
2022-04-27T13:42:42+02:00,Red Rocket
2022-03-10T23:23:14+01:00,Il materiale emotivo
2022-03-08T10:24:25+01:00,La sociologie est un sport de combat
2022-02-19T13:03:33+01:00,Billions
2018-09-02,"Three Billboards Outside Ebbing, Missouri"
2018-09-02,Seven Pounds
2018-09-02,Febbre da cavallo
2018-09-02,I Used to Live Here
2018-09-02,Mamma Mia! Here We Go Again
2018-09-02,Il premio
2018-09-02,Citizen Kane
2018-09-02,The Stranger
2018-09-02,Jumanji
2018-09-02,Jumanji: Welcome to the Jungle
2018-09-02,Pulp Fiction
2018-09-02,Fight Club
2018-09-02,Forrest Gump
2018-09-02,Django
2018-09-02,Noi e la Giulia
2018-09-02,Smetto quando voglio: Ad honorem
2018-09-02,Fabrizio De Andrè: Principe libero
2018-09-02,Napoli velata
2018-09-02,Hamam
2018-09-02,La finestra di fronte
2018-09-02,Cuore sacro
2018-09-02,Allacciate le cinture
2018-09-02,Istanbul Kirmizisi
2018-09-02,Mad Max
2018-09-02,Mad Max 2
2018-09-02,Mad Max Beyond Thunderdome
2018-09-02,A Bigger Splash
2018-09-02,Ready Player One
2018-09-02,The Goonies
2018-09-02,A Brief History of Time
2018-09-02,Saving Private Ryan
2018-09-02,Super 8
2018-09-02,The Adventures of Tintin
2018-09-02,War Horse
2018-09-02,The Post
2018-09-02,Touch of Evil
2018-09-02,Radio Days
2018-09-02,The Passion of the Christ
2018-09-02,Tarnation
2018-09-02,Page Eight
2018-09-02,American Beauty
2018-09-02,Trainspotting
2018-09-02,T2 Trainspotting
2018-09-02,Non c'è due senza quattro
2018-09-02,The Bourne Identity
2018-09-02,King Arthur
2018-09-02,Spider-Man
2018-09-02,Spider-Man 3
2018-09-02,Spider-Man 2
2018-09-02,X-Men
2018-09-02,X2
2018-09-02,X: First Class
2018-09-02,X-Men: Days of Future Past
2018-09-02,X-Men: The Last Stand
2018-09-02,Amour & turbulences
2018-09-02,Tanguy
2018-09-02,Lavorare con lentezza
2018-09-02,Private Parts
2018-09-02,Project X
2018-09-02,Death at a Funeral
2018-09-02,Darkest Hour
2018-09-02,Visages villages
2018-09-02,Tangerine
2018-09-02,The Secret Life of Walter Mitty
2018-09-02,Singin' in the Rain
2018-09-02,Ghostbusters
2018-09-02,Catch Me If You Can
2018-09-02,Steve Jobs
2018-09-02,Scott Pilgrim vs. the World
2018-09-02,Manchester by the Sea
2018-09-02,The Lord of the Rings: The Fellowship of the Ring
2018-09-02,The Lord of the Rings: The Return of the King
2018-09-02,2001: A Space Odyssey
2018-09-02,The Revenant
2018-09-02,Titanic
2018-09-02,Solo: A Star Wars Story
2018-09-02,The Lord of the Rings: The Two Towers
2018-09-02,Fantastic Beasts: The Crimes of Grindelwald
2018-09-02,Tutta colpa di Freud
2018-09-02,The World Is Not Enough
2018-09-02,GoldenEye
2018-09-02,Die Another Day
2018-09-02,Tomorrow Never Dies
2018-09-02,Sherlock Holmes: A Game of Shadows
2018-09-02,The Bourne Supremacy
2018-09-02,Kingsman: The Golden Circle
2018-09-02,Neighbors
2018-09-02,Superbad
2018-09-02,This Is the End
2018-09-02,Kick-Ass
2018-09-02,Il ragazzo invisibile: Seconda generazione
2018-09-02,Manhattan
2018-09-02,Annie Hall
2018-09-02,Zelig
2018-09-02,Broadway Danny Rose
2018-09-02,Husbands and Wives
2018-09-02,Bullets Over Broadway
2018-09-02,To Rome with Love
2018-09-02,Wonder Wheel
2018-09-02,The Godfather: Part II
2018-09-10,First Reformed
2018-09-10,American Honey
2018-09-15,Il postino
2018-09-15,Il viaggio di Capitan Fracassa
2018-09-15,Che ora è?
2018-09-15,Non ci resta che piangere
2018-09-15,Scusate il ritardo
2018-09-15,2 Fast 2 Furious
2018-09-15,Turbo Charged Prelude to 2 Fast 2 Furious
2018-09-15,The Transporter
2018-09-20,Paz!
2018-09-20,Snatch
2018-09-20,Clerks
2018-09-20,From Dusk Till Dawn
2018-09-20,La vingt-cinquième heure
2018-09-20,American History X
2018-09-24,Westworld
2018-09-24,The Crown
2018-09-26,Rear Window
2018-09-27,North by Northwest
2018-09-27,Notorious
2018-09-27,Psycho
2018-09-27,Vertigo
2018-09-27,12 Angry Men
2018-09-27,"Il buono, il brutto, il cattivo"
2018-09-27,A League of Their Own
2018-09-27,Sin City
2018-10-06,Ammore e malavita
2018-10-06,L'arrivo di Wang
2018-10-06,Malcolm X
2018-10-06,Free Solo
2018-10-06,One Flew Over the Cuckoo’s Nest
2018-10-06,La vita è bella
2018-10-06,A Beautiful Mind
2018-10-06,Shakespeare in Love
2018-10-16,Le fabuleux destin d’Amèlie Poulain
2018-10-16,October Sky
2018-10-17,Il gattopardo
2018-10-17,Il cappellino
2018-10-17,Xie Zi
2018-10-17,Stand by Me
2018-10-17,Una domenica notte
2018-10-17,AnnA
2018-10-17,Una famiglia perfetta
2018-10-17,Sei mai stata sulla luna?
2018-10-17,Le jeu
2018-10-17,Per sempre
2018-10-27,The Harder They Come
2018-10-27,Help!
2018-10-27,A Hard Day's Night
2018-10-27,Let It Be
2018-10-27,Saturday Night Fever
2018-11-10,Il sole dentro
2018-11-16,Les aiguilles rouges
2018-11-26,The Last Emperor
2018-12-10,Los Bandoleros
2018-12-10,Capharnaum
2018-12-10,Roma
2018-12-10,Pump Up the Volume
2018-12-10,"Good Morning, Vietnam"
2018-12-10,A Clockwork Orange
2018-12-10,Barry Lyndon
2018-12-10,Eyes Wide Shut
2018-12-10,Full Metal Jacket
2018-12-10,Mary Poppins Returns
2018-12-10,Vice
2018-12-10,Green Book
2018-12-10,A Star Is Born
2018-12-10,Crazy Rich Asians
2018-12-10,If Beale Street Could Talk
2018-12-10,Falling in Love
2018-12-10,Paisé
2018-12-10,Roma città aperta
2018-12-10,I nuovi mostri
2018-12-11,The Death of Stalin
2018-12-11,Lazzaro felice
2018-12-11,Zama
2018-12-11,Manbiki kazoku
2018-12-11,Beoning
2018-12-11,De battre mon coeur s'est arrèté
2018-12-11,Faces
2018-12-11,A Woman Under the Influence
2018-12-11,The Killing of a Chinese Bookie
2018-12-11,Rosetta
2018-12-11,Darbareye Elly
2018-12-11,Jodaeiye Nader az Simin
2018-12-11,L-sky jedn- plavovl-sky
2018-12-11,Taking Off
2018-12-11,Das wei-e Band - Eine deutsche Kindergeschichte
2018-12-11,Otac na sluzbenom putu
2018-12-11,Dom za vesanje
2018-12-11,Kynodontas
2018-12-11,The Lobster
2018-12-11,The Apartment
2018-12-11,Neokonchennaya pyesa dlya mekhanicheskogo pianino
2018-12-18,Non pensarci
2018-12-19,Ludwig
2018-12-25,Holmes & Watson
2018-12-25,Aquaman
2018-12-26,Whiskey Cavalier
2019-01-10,La compagnia del cigno
2019-01-10,La kryptonite nella borsa
2019-01-20,Indagine su un cittadino al di sopra di ogni sospetto
2019-01-22,At Eternity's Gate
2019-01-30,V for Vendetta
2019-02-12,25th Hour
2019-02-12,Inside Man
2019-02-12,Do the Right Thing
2019-02-12,Da Sweet Blood of Jesus
2019-02-18,L'ultimo bacio
2019-02-18,Fathers & Daughters
2019-02-18,Baciami ancora
2019-02-18,Lèon
2019-02-22,Youth
2019-02-22,Le conseguenze dell'amore
2019-02-22,Loro
2019-02-23,Alien
2019-02-23,Sunshine
2019-02-23,Moon
2019-02-23,Apollo 13
2019-03-18,Il portaborse
2019-03-18,La scuola
2019-03-18,Mio fratello è figlio unico
2019-03-18,I pugni in tasca
2019-03-18,Il sole anche di notte
2019-03-21,Gomorra
2019-03-21,Entering Red
2019-03-21,C'era una volta il West
2019-03-21,Reservoir Dogs
2019-03-21,Once Upon a Time in Mexico
2019-03-21,Helter Skelter
2019-03-21,Quel maledetto treno blindato
2019-03-21,Jackie Brown
2019-03-21,Death Proof
2019-03-27,Planet Earth II
2019-03-27,Big Eyes
2019-03-27,Alice in Wonderland
2019-03-27,Edward Scissorhands
2019-03-27,Alfred Hitchcock Presents
2019-04-02,Unicorn Store
2019-04-03,The Royal Tenenbaums
2019-04-03,The Life Aquatic with Steve Zissou
2019-04-03,Bottle Rocket
2019-04-04,The Breakfast Club
2019-04-04,Breakfast at Tiffany's
2019-04-06,X-Men Origins: Wolverine
2019-04-06,The Wolverine
2019-04-06,X-Men: Apocalypse
2019-04-06,Dark Phoenix
2019-04-07,Daredevil
2019-04-07,Hulk
2019-04-07,The Incredible Hulk
2019-04-14,Nirvana
2019-04-14,Denti
2019-04-14,Marrakech Express
2019-04-25,I Call First
2019-04-25,Alice Doesn't Live Here Anymore
2019-04-25,Bonnie and Clyde
2019-04-25,Easy Rider
2019-04-25,The Graduate
2019-04-27,A Beautiful Planet
2019-05-12,Ricomincio da tre
2019-05-12,Fantozzi
2019-05-19,Romeo + Juliet
2019-05-23,Booksmart
2019-06-16,The World About Us
2019-06-16,Making Waves: The Art of Cinematic Sound
2019-07-01,Le notti di Cabiria
2019-07-01,La dolce vita
2019-07-01,Accattone
2019-07-01,Mamma Roma
2019-07-01,Stranger Things
2019-07-02,The Purple Rose of Cairo
2019-07-11,Una giornata particolare
2019-07-11,The Rose Tattoo
2019-07-11,Ieri oggi domani
2019-07-11,Il giardino dei Finzi Contini
2019-07-11,La ciociara
2019-07-11,The Birds
2019-07-12,Blood Simple
2019-07-12,The Ballad of Buster Scruggs
2019-07-12,True Grit
2019-07-12,Burn After Reading
2019-07-12,A Serious Man
2019-07-12,Fargo
2019-07-14,L'isola di Arturo
2019-07-20,Mio fratello rincorre i dinosauri
2019-07-21,F for Fake
2019-07-21,Il colpo del cane
2019-07-21,Greed
2019-07-21,Fast & Furious Presents: Hobbs & Shaw
2019-07-21,How to Talk to Girls at Parties
2019-07-22,Gorbaciof
2019-07-23,Rachel Getting Married
2019-07-23,Trois couleurs: Bleu
2019-07-23,George Lucas in Love
2019-07-23,Il signor Diavolo
2019-07-23,Io non ti conosco
2019-07-23,Versus
2019-07-23,La dea fortuna
2019-07-25,La vie d'Ad-le
2019-07-26,Blade Runner
2019-07-27,Hichki
2019-07-27,Blinded by the Light
2019-07-27,Giant Little Ones
2019-08-04,Zombieland
2019-09-02,Banana
2019-09-02,Terminator: Dark Fate
2019-09-03,Martin Eden
2019-09-12,C’è tempo
2019-09-12,I bambini sanno
2019-09-13,La montana sagrada
2019-09-13,Le tout nouveau testament
2019-09-13,The Night of the Hunter
2019-09-13,La chambre verte
2019-09-15,Memento
2019-09-25,Chernobyl
2019-09-25,Russian Doll
2019-09-25,Happy!
2019-10-02,Donnie Darko
2019-10-03,Il sindaco del Rione Sanità
2019-10-03,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn
2019-10-05,Smetto quando voglio: Masterclass
2019-10-08,Peaky Blinders
2019-10-12,Love and Death
2019-10-23,Joker
2019-10-26,The King of Comedy
2019-10-26,Cesare deve morire
2019-11-04,Jolly Blu
2019-11-11,Moths to flame
2019-11-11,Inanimate
2019-11-11,My Tyson
2019-11-11,Si sospetta il movente passionale con l'aggravante dei futili motivi
2019-11-11,Djinn Tonic
2019-11-12,Yuri Esposito
2019-11-17,Saturday Night Live
2019-11-21,The Irishman
2019-11-21,Le clan des Siciliens
2019-11-21,La luna su Torino
2019-11-21,Signorina Effe
2019-11-21,Mim- metallurgico ferito nell'onore
2019-11-21,I compagni
2019-11-21,Profumo di donna
2019-11-21,3 Days to Kill
2019-11-24,Motherless Brooklyn
2019-11-24,Searching for Sugar Man
2019-11-27,Begin Again
2019-12-01,Guy and Madeline on a Park Bench
2019-12-01,Babylon
2019-12-01,10 Cloverfield Lane
2019-12-01,Heat
2019-12-01,The Godfather: Part III
2019-12-01,The Pianist
2019-12-01,Tess
2019-12-01,Rosemary’s Baby
2019-12-01,Brick
2019-12-01,"What's Up, Tiger Lily?"
2019-12-01,Bananas
2019-12-01,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask
2019-12-01,Hannah and Her Sisters
2019-12-01,Stardust Memories
2019-12-01,Interiors
2019-12-01,Crimes and Misdemeanors
2019-12-01,Mighty Aphrodite
2019-12-01,Deconstructing Harry
2019-12-01,Scoop
2019-12-04,Ghostbusters: Afterlife
2019-12-04,Doctor Strange in the Multiverse of Madness
2019-12-04,Shang-Chi and the Legend of the Ten Rings
2019-12-04,Thor: Love and Thunder
2019-12-05,Excalibur
2019-12-05,The Elephant Man
2019-12-05,The Spy Who Loved Me
2019-12-05,Billy Elliot
2019-12-05,The Yards
2019-12-05,Trading Places
2019-12-05,Bridget Jones's Diary
2019-12-05,Morte a Venezia
2019-12-05,Diva
2019-12-05,Amadeus
2019-12-05,The Madness of King George
2019-12-05,The Bonfire of the Vanities
2019-12-05,Dangerous Moonlight
2019-12-05,Elvira Madigan
2019-12-06,Who Framed Roger Rabbit
2019-12-08,Tel Aviv on Fire
2019-12-08,Uncut Gems
2019-12-08,Gisaengchung
2019-12-08,The Shawshank Redemption
2019-12-08,Selfie
2019-12-08,Storia di B. - La scomparsa di mia madre
2019-12-08,For Sama
2019-12-09,Philadelphia
2019-12-09,The Witches of Eastwick
2019-12-09,For Whom the Bell Tolls
2019-12-11,Lolita
2019-12-16,Morte di un matematico napoletano
2019-12-16,Chariots of Fire
2019-12-18,Più buio di mezzanotte
2019-12-18,Una famiglia
2019-12-20,Pinocchio
2019-12-20,The Big Bang Theory
2019-12-20,A Christmas Carol
2019-12-25,J’accuse
2019-12-25,Il traditore
2019-12-25,Nimic
2020-01-04,HAK_MTL
2020-01-05,Contact
2020-01-05,Star Stuff
2020-01-16,Blue Lips
2020-01-19,Hammamet
2020-01-20,Better Luck Tomorrow
2020-01-22,L'amore molesto
2020-01-22,Mulan
2020-01-22,Tre piani
2020-01-22,Jane Eyre
2020-01-22,The Gentlemen
2020-01-22,The Personal History of David Copperfield
2020-01-22,In the Heights
2020-01-22,Top Gun: Maverick
2020-01-22,Tenet
2020-01-22,Death on the Nile
2020-01-22,Godzilla vs. Kong
2020-01-22,The Last Duel
2020-01-22,Dune
2020-01-22,West Side Story
2020-01-22,The French Dispatch
2020-01-22,Freaks Out
2020-01-22,Diabolik
2020-01-23,Il capitale umano
2020-01-23,Boyhood
2020-01-23,Untitled Call Me by Your Name Sequel
2020-01-25,Figli
2020-01-27,Zathura: A Space Adventure
2020-01-29,Fame
2020-01-29,Butch Cassidy and the Sundance Kid
2020-01-29,El Norte
2020-01-29,"Sex, Lies, and Videotape"
2020-01-29,Side Effects
2020-01-29,Contagion
2020-01-29,Plastic China
2020-02-04,The Lighthouse
2020-02-04,Jojo Rabbit
2020-02-04,Marriage Story
2020-02-17,National Lampoon’s Animal House
2020-03-02,Hair
2020-03-02,Jesus Christ Superstar
2020-03-08,Mad Men
2020-03-09,Smultronst-llet
2020-03-09,Det sjunde inseglet
2020-03-12,No Answer
2020-03-12,Zimna wojna
2020-03-12,Ida
2020-03-20,4 passi fra le nuvole
2020-03-22,Fried Green Tomatoes
2020-03-24,Sulla mia pelle
2020-03-26,"Synecdoche, New York"
2022-01-04T16:09:16+01:00,Bo Burnham: Inside
